agenda,date,draft,draft_url,meeting_record,meeting_record_url,veto_power,veto_china,veto_france,veto_russia,veto_ussr,veto_uk,veto_usa,datetime,agenda_cleaned
"Middle East situation, including the Palestinian question",1 June 2018,S/2018/516,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2018/516,S/PV.8274,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.8274,USA,,,,,,USA,2018-06-01,Palestine
Middle East ,10 April 2018,S/2018/321,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2018/321,S/PV.8228,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.8228,Russian_Federation,,,Russian Federation,,,,2018-04-10,Middle East
Middle East ,26 February 2018,S/2018/156,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2018/156,S/PV.8190,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.8190,Russian_Federation,,,Russian Federation,,,,2018-02-26,Middle East
"Middle East situation, including the Palestinian question",18 December 2017,S/2017/1060,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2017/1060,S/PV.8139,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.8139,USA,,,,,,USA,2017-12-18,Palestine
Middle East ,17 November 2017,S/2017/970,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2017/970,S/PV.8107,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.8107,Russian_Federation,,,Russian Federation,,,,2017-11-17,Middle East
Middle East ,16 November 2017,S/2017/962,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2017/962,S/PV.8105,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.8105,Russian_Federation,,,Russian Federation,,,,2017-11-16,Middle East
Middle East ,24 October 2017,S/2017/884,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2017/884,S/PV.8073,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.8073,Russian_Federation,,,Russian Federation,,,,2017-10-24,Middle East
Middle East ,12 April 2017,S/2017/315,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2017/315,S/PV.7922,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.7922,Russian_Federation,,,Russian Federation,,,,2017-04-12,Middle East
Middle East ,28 February 2017,S/2017/172,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2017/172,S/PV.7893,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.7893,China Russian_Federation,China,,Russian Federation,,,,2017-02-28,Middle East
Middle East ,5 December 2016,S/2016/1026,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2016/1026,S/PV.7825,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.7825,China Russian_Federation,China,,Russian Federation,,,,2016-12-05,Middle East
Middle East ,8 October 2016,S/2016/846,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2016/846,S/PV.7785,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.7785,Russian_Federation,,,Russian Federation,,,,2016-10-08,Middle East
Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136),29 July 2015,S/2015/562,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2015/562,S/PV.7498,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.7498,Russian_Federation,,,Russian Federation,,,,2015-07-29,Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)
The situation in Bosnia and Herzegovina,8 July 2015,S/2015/508,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2015/508,S/PV.7481,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.7481,Russian_Federation,,,Russian Federation,,,,2015-07-08,Bosnia and Herzegovina
Middle East - Syria,22 May 2014,S/2014/348,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2014/348,S/PV.7180,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.7180,China Russian_Federation,China,,Russian Federation,,,,2014-05-22,Middle East- Syria
Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136),15 March 2014,S/2014/189,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2014/189,S/PV.7138,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.7138,Russian_Federation,,,Russian Federation,,,,2014-03-15,Letter dated 28 February 2014 from the Permanent Representative of Ukraine to the United Nations addressed to the President of the Security Council (S/2014/136)
Middle East - Syria,19 July 2012,S/2012/538,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2012/538,S/PV.6810,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.6810,China Russian_Federation,China,,Russian Federation,,,,2012-07-19,Middle East- Syria
Middle East - Syria,4 February 2012,S/2012/77,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2012/77,S/PV.6711,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.6711,China Russian_Federation,China,,Russian Federation,,,,2012-02-04,Middle East- Syria
Middle East - Syria,4 October 2011,S/2011/612,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2011/612,S/PV.6627,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.6627,China Russian_Federation,China,,Russian Federation,,,,2011-10-04,Middle East- Syria
"Middle East situation, including the Palestinian question",18 February 2011,S/2011/24,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2011/24,S/PV.6484,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.6484,USA,,,,,,USA,2011-02-18,Palestine
Georgia,15 June 2009,S/2009/310,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2009/310,S/PV.6143,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.6143,Russian_Federation,,,Russian Federation,,,,2009-06-15,Georgia
Peace and Security - Africa (Zimbabwe),11 July 2008,S/2008/447,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2008/447,S/PV.5933,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.5933,China Russian_Federation,China,,Russian Federation,,,,2008-07-11,Peace and Security - Africa (Zimbabwe)
Myanmar,12 January 2007,S/2007/14,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2007/14,S/PV.5619,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.5619,China Russian_Federation,China,,Russian Federation,,,,2007-01-12,Myanmar
"Middle East situation, including the Palestinian question",11 November 2006,S/2006/878,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2006/878,S/PV.5565,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.5565,USA,,,,,,USA,2006-11-11,Palestine
"Middle East situation, including the Palestinian question",13 July 2006,S/2006/508,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2006/508,S/PV.5488,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.5488,USA,,,,,,USA,2006-07-13,Palestine
"Middle East situation, including the Palestinian question",5 October 2004,S/2004/783,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2004/783,S/PV.5051,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.5051,USA,,,,,,USA,2004-10-05,Palestine
Cyprus,21 April 2004,S/2004/313,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2004/313,S/PV.4947,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.4947,Russian_Federation,,,Russian Federation,,,,2004-04-21,Cyprus
"Middle East situation, including the Palestinian question",25 March 2004,S/2004/240,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2004/240,S/PV.4934,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.4934,USA,,,,,,USA,2004-03-25,Palestine
"The situation in the Middle East, including the Palestinian question",14 October 2003,S/2003/980,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2003/980,S/PV.4842,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.PV.4842,USA,,,,,,USA,2003-10-14,Palestine
"The situation in the Middle East, including the Palestinian question",16 September 2003,S/2003/891,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2003/891,S/PV.4828,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.4828,USA,,,,,,USA,2003-09-16,Palestine
"The situation in the Middle East, including the Palestinian question",20 December 2002,S/2002/1385,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2002/1385,S/PV.4681,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.4681,USA,,,,,,USA,2002-12-20,Palestine
The situation in Bosnia and Herzegovina,30 June 2002,S/2002/712,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2002/712,S/PV.4563,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.4563,USA,,,,,,USA,2002-06-30,Bosnia and Herzegovina
"The situation in the Middle East, including the Palestinian question",14 December 2001,S/2001/1199,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2001/1199,S/PV.4438,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.4438,USA,,,,,,USA,2001-12-14,Palestine
"The situation in the Middle East, including the Palestinian question",27 March 2001,S/2001/270,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/2001/270,S/PV.4305,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.4305,USA,,,,,,USA,2001-03-27,Palestine
The situation in the former Yugoslav Republic of Macedonia,25 February 1999,S/1999/201,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/1999/201,S/PV.3982,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.3982,China,China,,,,,,1999-02-25,former Yugoslav Republic of Macedonia
The situation in the occupied Arab territories ,21 March 1997,S/1997/241,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/1997/241,S/PV.3756,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.3756,USA,,,,,,USA,1997-03-21,occupied Arab territories
The situation in the occupied Arab territories ,7 March 1997,S/1997/199,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/1997/199,S/PV.3747,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.3747,USA,,,,,,USA,1997-03-07,occupied Arab territories
Central America: efforts towards peace ,10 January 1997,S/1997/18,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/1997/18,S/PV.3730,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.3730,China,China,,,,,,1997-01-10,Central America: efforts towards peace
The situation in the occupied Arab territories,17 May 1995,S/1995/394,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/1995/394,S/PV.3538,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.3538,USA,,,,,,USA,1995-05-17,occupied Arab territories
The situation in the Republic of Bosnia and Herzegovina ,2 December 1994,S/1994/1358,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/1994/1358,S/PV.3475,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.3475,Russian_Federation,,,Russian Federation,,,,1994-12-02,Republic of Bosnia and Herzegovina
The situation in Cyprus ,11 May 1993,S/25693,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/25693,S/PV.3211,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.3211,Russian_Federation,,,Russian Federation,,,,1993-05-11,Cyprus
The situation in the occupied Arab territories ,31 May 1990,S/21326,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/21326,S/PV.2926,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2926,USA,,,,,,USA,1990-05-31,occupied Arab territories
Letter dated 3 January 1990 from Nicaragua to the President of the Security Council ,17 January 1990,S/21084,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/21084,S/PV.2905,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2905,USA,,,,,,USA,1990-01-17,Letter dated 3 January 1990 from Nicaragua to the President of the Security Council
The situation in Panama ,23 December 1989,S/21048,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/21048,S/PV.2902,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2902,France UK USA,,France,,,UK,USA,1989-12-23,Panama
The situation in the occupied Arab territories ,7 November 1989,S/20945/Rev.1 ,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/20945/Rev.1,S/PV.2889,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2889,USA,,,,,,USA,1989-11-07,occupied Arab territories
The situation in the occupied Arab territories ,9 June 1989,S/20677,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/20677,S/PV.2867,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2867,USA,,,,,,USA,1989-06-09,occupied Arab territories
The situation in the occupied Arab territories ,17 February 1989,S/20463,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/20463,S/PV.2850,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2850,USA,,,,,,USA,1989-02-17,occupied Arab territories
Letters dated 4 January 1989 from Libya and Bahrain to the President of the Security Council,11 January 1989,S/20378,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/20378,S/PV.2841,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2841,France UK USA,,France,,,UK,USA,1989-01-11,Letters dated 4 January 1989 from Libya and Bahrain to the President of the Security Council
The situation in the Middle East ,14 December 1988,S/20322,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/20322,S/PV.2832,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2832,USA,,,,,,USA,1988-12-14,Middle East
The situation in the Middle East ,10 May 1988,S/19868,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/19868,S/PV.2814,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2814,USA,,,,,,USA,1988-05-10,Middle East
The situation in the occupied Arab territories ,15 April 1988,S/19780,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/19780,S/PV.2806,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2806,USA,,,,,,USA,1988-04-15,occupied Arab territories
The question of South Africa ,8 March 1988,S/19585,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/19585,S/PV.2797,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2797,UK USA,,,,,UK,USA,1988-03-08,South Africa
The situation in the occupied Arab territories ,1 February 1988,S/19466,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/19466,S/PV.2790,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2790,USA,,,,,,USA,1988-02-01,occupied Arab territories
The situation in the Middle East ,18 January 1988,S/19434,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/19434,S/PV.2784,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2784,USA,,,,,,USA,1988-01-18,Middle East
The situation in Namibia ,9 April 1987,S/18785 ,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/18785,S/PV.2747,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2747,UK USA,,,,,UK,USA,1987-04-09,Namibia
The question of South Africa,20 February 1987,S/18705,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/18705,S/PV.2738,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2738,UK USA,,,,,UK,USA,1987-02-20,South Africa
Letter dated 17 October 1986 from Nicaragua to the President of the Security Council ,28 October 1986,S/18428,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/18428,S/PV.2718,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2718,USA,,,,,,USA,1986-10-28,Letter dated 17 October 1986 from Nicaragua to the President of the Security Council
Letter dated 22 July 1986 from Nicaragua to the President of the Security Council ,31 July 1986,S/18250 ,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/18250,S/PV.2704,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2704,USA,,,,,,USA,1986-07-31,Letter dated 22 July 1986 from Nicaragua to the President of the Security Council
Complaint by Angola against South Africa ,18 June 1986,S/18163,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/18163,S/PV.2693,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2693,UK USA,,,,,UK,USA,1986-06-18,South Africa
The situation in Southern Africa ,23 May 1986,S/18087/Rev.1 ,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/18087/Rev.1,S/PV.2686,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2686,UK USA,,,,,UK,USA,1986-05-23,Southern Africa
"Letters dated 15 April 1986 from Libya, Burkina Faso, Syria and Oman to the President of the Security Council",21 April 1986,S/18016/Rev.1,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/18016/Rev.1,S/PV.2682,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2682,France UK USA,,France,,,UK,USA,1986-04-21,"Letters dated 15 April 1986 from Libya, Burkina Faso, Syria and Oman to the President of the Security Council"
Letter dated 4 February 1986 from Syria to the President of the Security Council ,6 February 1986,S/17796/Rev.1,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/17796/Rev.1,S/PV.2655,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2655,USA,,,,,,USA,1986-02-06,Letter dated 4 February 1986 from Syria to the President of the Security Council
The situation in the occupied Arab territories ,30 January 1986,S/17769/Rev.1,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/17769/Rev.1,S/PV.2650,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2650,USA,,,,,,USA,1986-01-30,occupied Arab territories
 The situation in the Middle East ,17 January 1986,S/17730/Rev.2,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/17730/Rev.2,S/PV.2642,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2642,USA,,,,,,USA,1986-01-17,Middle East
The situation in Namibia ,15 November 1985,S/17633,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/17633,S/PV.2629,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2629,UK USA,,,,,UK,USA,1985-11-15,Namibia
The situation in the occupied Arab territories ,13 September 1985,S/17459,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/17459,S/PV.2605,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2605(OR),USA,,,,,,USA,1985-09-13,occupied Arab territories
The situation in the Middle East ,12 March 1985,S/17000,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/17000,S/PV.2573,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2573(OR),USA,,,,,,USA,1985-03-12,Middle East
The situation in the Middle East ,6 September 1984,S/16732,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/16732,S/PV.2556,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2556(OR),USA,,,,,,USA,1984-09-06,Middle East
Letter dated 29 March 1984 from Nicaragua to the President of the Security Council ,4 April 1984,S/16463 ,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/16463,S/PV.2529,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2529(OR),USA,,,,,,USA,1984-04-04,Letter dated 29 March 1984 from Nicaragua to the President of the Security Council
The situation in the Middle East ,29 February 1984,S/16351/Rev.2,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/16351/Rev.2,S/PV.2519,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2519(OR),USSR,,,,USSR,,,1984-02-29,Middle East
The situation in Grenada ,27 October 1983,S/16077/Rev.1,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/16077/Rev.1,S/PV.2491,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2491(OR),USA,,,,,,USA,1983-10-27,Grenada
"Letters dated 1 September 1983 from the USA, the Republic of Korea, Canada and Japan to the President of the Security Council and Letter dated 2 September 1983 from Australia to the President of the Security Council",12 September 1983,S/15966/Rev.1,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/15966/Rev.1,S/PV.2476,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2476(OR),USSR,,,,USSR,,,1983-09-12,"Letters dated 1 September 1983 from the USA, the Republic of Korea, Canada and Japan to the President of the Security Council and Letter dated 2 September 1983 from Australia to the President of the Security Council"
The situation in the occupied Arab territories ,2 August 1983,S/15895,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/15895,S/PV.2461,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.2461(OR),USA,,,,,,USA,1983-08-02,occupied Arab territories
